"New data","Species","ID","SRA Number", "Library ID", "Library type","Tissue","Sequencer", "Sequencing center", "Sample prep","Collected by","Collection date","Specimen id","Depth","Geo loc name","Lat Lon","Voucher Type","Voucher location","Voucher Cat No.","Collection mode"
Y,Chuniphyes multidentata,HWI-ST625-54-C026EACXX-6-GCCAAT,,FEG325,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,12-Dec-09,D103-SS4,327m,"Pacific Ocean, Monterey Bay, CA, USA",36.79 N 122.00 W,physical voucher,MCZ IZ (Harvard),69765,"ROV Doc Ricketts, off R/V Wester Flyer"
N,Clytia hemisphaerica,dbEST_CLYHEM,,,transcriptome,,,, , ,,,,,,,,,
Y,Cordagalma sp,HWI-ST625-54-C026EACXX-6-CAGATC,,FEG328,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,15-Jan-08,V3155-D8 1/2,252m,"Pacific Ocean, Monterey Bay, CA, USA",36.70 N 122.06 W,photographic voucher - supplementary file,,,"ROV Ventana, off R/V Point Lobos"
N,Ectopleura larynx,HWI-ST420-69-D0F2NACXX-3-ECTOPLEURA,SRX315375,,transcriptome,,Illumina HiSeq,, , ,,,,,,,,,
Y,Erenna richardi,HWI-ST625-54-C026EACXX-7-TAGCTT,,FEG356,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,09-Dec-09,D100-D1,1044m,"Pacific Ocean, Monterey Bay, CA, USA",36.61 N 122.38 W,physical voucher,MCZ IZ (Harvard),69768,"ROV Doc Ricketts, off R/V Wester Flyer"
Y,Forskalia asymmetrica,HWI-ST625-54-C026EACXX-7-GGCTAC,,FEG357,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,11-Dec-09,D103-SS7,253m,"Pacific Ocean, Monterey Bay, CA, USA",36.80 N 122.00 W,physical voucher,MCZ IZ (Harvard),69769,"ROV Doc Ricketts, off R/V Wester Flyer"
Y,Hippopodius hippopus,HWI-ST625-54-C026EACXX-8-ATCACG,,FEG337,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,,Stefan Siebert,13-Apr-11,VF#6,0-30m,"Mediterranean, Bay of Villefranche-sur-Mer, France",,physical voucher,MCZ IZ (Harvard),69774,"Plankton trawl, mesh size 780microns"
N,Hydra magnipapillata,NCBI_HYDMAG,,,genome,,,, , ,,,,,,,,,
N,Hydractinia symbiolongicarpus,HISEQ-129-C25BFACXX-8-HYDRACTINIA,SRX474878,,transcriptome,,Illumina HiSeq,, , ,,,,,,,,,
Y,Kephyes ovata,HWI-ST625-73-C0JUVACXX-7-ATCACG,,FEG0367,transcriptome,siphosome,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,06-Dec-11,D330-SS8,452m,"Pacific Ocean, Monterey Bay, CA, USA",36.36 N 122.81 W,physical voucher,MCZ IZ (Harvard),69775,"ROV Doc Ricketts, off R/V Wester Flyer"
Y,Lilyopsis fluoracantha,HWI-ST625-54-C026EACXX-7-CGATGT,,FEG344,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,26-Apr-07,V2992-D8,320m,"Pacific Ocean, Monterey Bay, CA, USA",36.69 N 122.04 W,photographic voucher - supplementary file,,,"ROV Ventana, off R/V Point Lobos"
Y,Lychnagalma utricularia,HWI-ST625-54-C026EACXX-8-TTAGGC,,FEG358,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,06-Oct-09,V3428-D6,431m,"Pacific Ocean, Monterey Bay, CA, USA",36.69 N 122.04 W,physical voucher,MCZ IZ (Harvard),69776,"ROV Ventana, off R/V Point Lobos"
Y,Marrus claudanielis,HWI-ST625-54-C026EACXX-7-TGACCA,,FEG359,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,13-Dec-09,D105-D4,1427m,"Pacific Ocean, Monterey Bay, CA, USA",36.07 N 122.29 W,physical voucher,MCZ IZ (Harvard),69777,"ROV Doc Ricketts, off R/V Wester Flyer"
N,Nematostella vectensis,JGI_NEMVEC,,,genome,,,, , ,,,,,,,,,
Y,Physonect sp ,HWI-ST625-54-C026EACXX-8-ACAGTG,,FEG348,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,01-Dec-07,T1155-D4,1463m,"Pacific Ocean, Monterey Bay, CA, USA",36.70 N 122.57 W,physical voucher,MCZ IZ (Harvard),69782,"ROV Tiburon, off R/V Wester Flyer"
Y,Podocoryna carnea,HISEQ-134-C27MTACXX-2-PODOCORYNA,,,transcriptome,,Illumina HiSeq,, , ,,,,,,,,,
Y,Prayidae D27SS7,HWI-ST625-54-C026EACXX-7-GATCAG,,FEG329,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,28-May-09,D27-SS7,1363m,"Pacific Ocean, Monterey Bay, CA, USA",35.48 N 123.64 W,photographic voucher - supplementary file,,,"ROV Doc Ricketts, off R/V Wester Flyer"
N,Prayidae D27D2,HWI-ST625-54-C026EACXX-7-CTTGTA,SRX288432,FEG354,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,,,,,,,,,
Y,Resomia ornicephala,HWI-ST625-54-C026EACXX-8-GCCAAT,,FEG341,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,09-Apr-05,T845-D3,322m,"Pacific Ocean, Monterey Bay, CA, USA",35.48 N 123.86 W,physical voucher,"United States National Museum (Smithsonian Institution), Washington, DC",USNM 1121482,"ROV Tiburon, off R/V Wester Flyer"
Y,Rhizophysa filiformis,HWI-ST625-54-C026EACXX-8-CAGATC,,FEG322,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,04-Jun-07,GoC BW8,10m,"Gulf of California, CA, USA",27.23 N 110.46 W,photographic voucher - supplementary file,,,"Blue water SCUBA diving, off R/V Wester Flyer"
Y,Stephalia dilata,HWI-ST625-54-C026EACXX-8-ACTTGA,,FEG350,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,09-Oct-10,D197-D2,3074m,"Pacific Ocean, Monterey Bay, CA, USA",35.62 N 122.67 W,physical voucher,MCZ IZ (Harvard),69783,"ROV Doc Ricketts, off R/V Wester Flyer"
Y,Apolemia lanosa,HWI-ST625-159-C4MVCACXX-5-CCGTCC,,CMN0036,transcriptome,NGZ SGZ and post SGZ,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Stefan Siebert,10-Jul-13,D493-D7,1073m,"Pacific Ocean, Monterey Bay, CA, USA",36.70 N 122.08 W,physical voucher,MCZ IZ (Harvard),69755,"ROV Doc Ricketts, off R/V Wester Flyer"
Y,Apolemia sp,HWI-ST625-159-C4MVCACXX-5-AGTTCC,,CMN0034,transcriptome,stem,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Stefan Siebert,24-Nov-13,D558-D5,461m,"Pacific Ocean, Monterey Bay, CA, USA",36.60 N 122.15 W,physical voucher,MCZ IZ (Harvard),69757,"ROV Doc Ricketts, off R/V Wester Flyer"
Y,Bargmannia amoena,HWI-ST625-159-C4MVCACXX-5-GTCCGC,,CMN0037,transcriptome,SGZ and stem,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Casey Dunn,10-Jul-13,D493-D5,1251m,"Pacific Ocean, Monterey Bay, CA, USA",36.70 N 122.08 W,physical voucher,MCZ IZ (Harvard),69758,"ROV Doc Ricketts, off R/V Wester Flyer"
Y,Bargmannia lata,HWI-ST625-159-C4MVCACXX-5-TGACCA,,CMN0028,transcriptome,Mature gastrozooid with stem and NGZ,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Stefan Siebert,20-Nov-13,D552-SS7,1158m,"Pacific Ocean, Monterey Bay, CA, USA",36.067 N 122.30 W,physical voucher,MCZ IZ (Harvard),69763,"ROV Doc Ricketts, off R/V Wester Flyer"
Y,Rudjakovia sp,HWI-ST625-181-C76K5ACXX-2-ATCACG,,CMN0089,transcriptome,piece of stem,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Stefan Siebert,11/07/13,D494-D8,334m,"Pacific Ocean, Monterey Bay, CA, USA",,,,,
Y,Thermopalia sp,HWI-ST625-181-C76K5ACXX-2-ACTTGA,,CMN0090,transcriptome,siphosome,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Stefan Siebert,14/07/13,D498-D3,3255m,"Pacific Ocean, Monterey Bay, CA, USA",36.39 N 122.67 W,,,,
Y,Physophora gilmeri,HWI-ST625-181-C76K5ACXX-2-TAGCTT,,CMN0091,transcriptome,nectosomal and siphosomal growth zone,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Cat Munro,19/11/13,D551-D11,242m,"Pacific Ocean, Monterey Bay, CA, USA",36.36 N 122.40 W,,,,
Y,Halistemma rubrum,HWI-ST625-181-C76K5ACXX-2-GGCTAC,,CMN0092,transcriptome,nectosomal and siphosomal growth zone,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Cat Munro/Casey Dunn,07/03/15,D720-D1,,,,,,,
Y,Athorybia rosacea,HWI-ST625-181-C76K5ACXX-2-CTTGTA,,CMN0093,transcriptome,whole,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Cat Munro/Casey Dunn,13/03/15,D727-BW6-3,,,,,,,
Y,Diphyes dispar,K00162-189-HJTYGBBXX-7-NCAGTG,,CMN052|CMN053|CMN054|CMN056|CMN057|CMN167|CMN168,transcriptome,mix of SGZ  & Eudoxids,Illumina HiSeq 3000,Yale Center for Genome Analysis,Zymo Quick MicroPrep |Illumina TruSeq Stranded mRNA Sample Prep Kit,Cat Munro,17/09/14,"BW1-5, BW1-3, BW1-2",0-30m,"Pacific Ocean, Monterey Bay, CA, USA",,,,,
