New data,Species,ID,SRA Number,Library ID, Library type,Tissue,Sequencer,Sequencing center,Sample prep,Collected by,Collection date,Specimen id,Depth (m),Geo loc name,Lat Lon,Voucher Type,Voucher location,Voucher Cat No.,Collection mode,Treatment prior to tissue sampling,MgCl relaxation
Y,Lychnagalma utricularia,HWI-ST625-54-C026EACXX-8-TTAGGC,SRR1548374,FEG102|FEG103|FEG104|FEG338,transcriptome,nectosomal and siphosomal growth zones,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,06-Oct-09,V3428-D6,431,"Pacific Ocean, Monterey Bay, CA, USA",36.69 N 122.04 W,physical voucher,MCZ IZ (Harvard),69776,"ROV Ventana, off R/V Point Lobos","sampled on collection day, dark, 4C",Y
Y,Marrus claudanielis,HWI-ST625-54-C026EACXX-7-TGACCA,SRR1548375,FEG345|FEG346,transcriptome,nectosomal and siphosomal growth zones,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,13-Dec-09,D105-D4,1427,"Pacific Ocean, Monterey Bay, CA, USA",36.07 N 122.29 W,physical voucher,MCZ IZ (Harvard),69777,"ROV Doc Ricketts, off R/V Wester Flyer","sampled on collection day, dark, 4C",N
N,Nematostella vectensis,JGI_NEMVEC,,,genome,,,, , ,,,,,,,,,,,
Y,Undescribed Sp. L,HWI-ST625-54-C026EACXX-8-ACAGTG,SRR1548381,FEG348,transcriptome,siphosomal stem fragment,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,01-Dec-07,T1155-D4,1463,"Pacific Ocean, Monterey Bay, CA, USA",36.70 N 122.57 W,physical voucher,MCZ IZ (Harvard),69782,"ROV Tiburon, off R/V Wester Flyer",?,?
Y,Podocoryna carnea,HISEQ-134-C27MTACXX-2-PODOCORYNA,,,transcriptome,,Illumina HiSeq,, , ,,,,,,,,,,,
Y,Desmophyes sp.,HWI-ST625-54-C026EACXX-7-GATCAG,SRR1548358,FEG329,transcriptome,siphosomal stem fragment,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,28-May-09,D27-SS7,1363,"Pacific Ocean, Monterey Bay, CA, USA",35.48 N 123.64 W,photographic voucher - supplementary file,,,"ROV Doc Ricketts, off R/V Wester Flyer",?,?
N,Craseoa lathetica,HWI-ST625-54-C026EACXX-7-CTTGTA,SRR871529,FEG354,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,,,,,,,,,,,
Y,Resomia ornicephala,HWI-ST625-54-C026EACXX-8-GCCAAT,SRR1548382,FEG341,transcriptome,siphosomal stem fragment,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,09-Apr-05,T845-D3,322,"Pacific Ocean, Monterey Bay, CA, USA",35.48 N 123.86 W,physical voucher,"United States National Museum (Smithsonian Institution), Washington, DC",USNM 1121482,"ROV Tiburon, off R/V Wester Flyer",?,?
Y,Rhizophysa filiformis,HWI-ST625-54-C026EACXX-8-CAGATC,SRR1548383,FEG322,transcriptome,siphosomal stem fragment,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,04-Jun-07,GoC BW8,10,"Gulf of California, CA, USA",27.23 N 110.46 W,photographic voucher - supplementary file,,,"Blue water SCUBA diving, off R/V Wester Flyer",?,?
Y,Stephalia dilata,HWI-ST625-54-C026EACXX-8-ACTTGA,SRR1548384,FEG350,transcriptome,siphosomal stem fragment,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,09-Oct-10,D197-D2,3074,"Pacific Ocean, Monterey Bay, CA, USA",35.62 N 122.67 W,physical voucher,MCZ IZ (Harvard),69783,"ROV Doc Ricketts, off R/V Wester Flyer",?,?
Y,Apolemia lanosa,HWI-ST625-159-C4MVCACXX-5-CCGTCC,,CMN0036,transcriptome,NGZ SGZ and post SGZ,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Stefan Siebert,10-Jul-13,D493-D7,1073,"Pacific Ocean, Monterey Bay, CA, USA",36.70 N 122.08 W,physical voucher,MCZ IZ (Harvard),69755,"ROV Doc Ricketts, off R/V Wester Flyer","Over night, FSW, dark, 4C",Y
Y,Apolemia sp,HWI-ST625-159-C4MVCACXX-5-AGTTCC,,CMN0034,transcriptome,stem,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Stefan Siebert,24-Nov-13,D558-D5,461,"Pacific Ocean, Monterey Bay, CA, USA",36.60 N 122.15 W,physical voucher,MCZ IZ (Harvard),69757,"ROV Doc Ricketts, off R/V Wester Flyer","sampled on collection day, dark, 4C",Y
Y,Bargmannia amoena,HWI-ST625-159-C4MVCACXX-5-GTCCGC,,CMN0037,transcriptome,SGZ and stem,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Casey Dunn,10-Jul-13,D493-D5,1251,"Pacific Ocean, Monterey Bay, CA, USA",36.70 N 122.08 W,physical voucher,MCZ IZ (Harvard),69758,"ROV Doc Ricketts, off R/V Wester Flyer","sampled on collection day, dark, 4C",Y
Y,Bargmannia lata,HWI-ST625-159-C4MVCACXX-5-TGACCA,,CMN0028,transcriptome,Mature gastrozooid with stem and NGZ,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Stefan Siebert,20-Nov-13,D552-SS7,1158,"Pacific Ocean, Monterey Bay, CA, USA",36.067 N 122.30 W,physical voucher,MCZ IZ (Harvard),69763,"ROV Doc Ricketts, off R/V Wester Flyer","sampled on collection day, dark, 4C",Y
Y,Rudjakovia sp,HWI-ST625-181-C76K5ACXX-2-ATCACG,,CMN0089,transcriptome,piece of stem,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Stefan Siebert,11/07/13,D494-D8,334,"Pacific Ocean, Monterey Bay, CA, USA",36.00 N 122.42 W,"physical voucher, photographic voucher",Yale Peabody Museum,YPM IZ 102107,"ROV Doc Ricketts, off R/V Wester Flyer","sampled on collection day, dark, 4C",Y
Y,Stephalia sp,HWI-ST625-181-C76K5ACXX-2-ACTTGA,,CMN0090,transcriptome,siphosome,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Stefan Siebert,14/07/13,D498-D3,3255,"Pacific Ocean, Monterey Bay, CA, USA",36.39 N 122.67 W,"physical voucher, photographic voucher",Yale Peabody Museum,YPM IZ 102108,"ROV Doc Ricketts, off R/V Wester Flyer","sampled on collection day, dark, 4C",Unknown
Y,Physophora gilmeri,HWI-ST625-181-C76K5ACXX-2-TAGCTT,,CMN0091,transcriptome,nectosomal and siphosomal growth zone,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Cat Munro,19/11/13,D551-D11,242,"Pacific Ocean, Monterey Bay, CA, USA",36.36 N 122.40 W,physical voucher,Yale Peabody Museum,YPM IZ 102109,"ROV Doc Ricketts, off R/V Wester Flyer","sampled on collection day, dark, 4C",Y
Y,Halistemma rubrum,HWI-ST625-181-C76K5ACXX-2-GGCTAC,,CMN0092,transcriptome,nectosomal and siphosomal growth zone,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Cat Munro/Casey Dunn,07/03/15,D720-D1,313,"Gulf of California, CA, USA",24.68 N 109.90W,physical voucher,Yale Peabody Museum,YPM IZ 102110,"ROV Doc Ricketts, off R/V Wester Flyer","sampled on collection day, dark, 4C",Y
Y,Athorybia rosacea,HWI-ST625-181-C76K5ACXX-2-CTTGTA,,CMN0093,transcriptome,whole,Illumina HiSeq 2500,Brown Genomics Core,Trizol | Illumina TruSeq Stranded mRNA Sample Prep Kit,Cat Munro/Casey Dunn,13/03/15,D727-BW6-3,3--20,"Gulf of California, CA, USA",22.92 N 108.36 W,"physical voucher (of specimen collected at the same time), photographic voucher",Yale Peabody Museum,YPM IZ 102111,"Blue water SCUBA diving, off R/V Wester Flyer","sampled on collection day, dark, 4C",N
Y,Diphyes dispar,K00162-189-HJTYGBBXX-7-NCAGTG,,CMN052;CMN053;CMN054;CMN056;CMN057;CMN167;CMN168,transcriptome,mix of SGZ  & Eudoxids,Illumina HiSeq 3000,Yale Center for Genome Analysis,Zymo Quick MicroPrep |Illumina TruSeq Stranded mRNA Sample Prep Kit,Cat Munro,17/09/14,"BW1-5, BW1-3, BW1-2",3--20,"Pacific Ocean, Monterey Bay, CA, USA", 35.93 N  122.93 W,"physical voucher (of specimen collected at the same time), photographic voucher",Yale Peabody Museum,YPM IZ 102112,"Blue water SCUBA diving, off R/V Wester Flyer","sampled on collection day, dark, 4C",Y
